Date,Day,Time,DG Units Consumed (KWh),DG Runtime (hrs),Fuel Consumed (Litres),Cost per Unit (INR),Total Cost (INR),DG ID
2026-03-19,Thursday,09:00,0,0,0,30,0,DG1
2026-03-18,Wednesday,09:00,0,0,0,30,0,DG1
2026-03-17,Tuesday,09:00,0,0,0,30,0,DG1
2026-03-16,Monday,09:00,0,0,0,30,0,DG1
2026-03-15,Sunday,09:00,0,0,0,30,0,DG1
2026-03-14,Saturday,09:00,0,0,0,30,0,DG1
2026-03-13,Friday,09:00,0,0,0,30,0,DG1
2026-03-12,Thursday,09:00,0,0,0,30,0,DG1
2026-03-11,Wednesday,09:00,0,0,0,30,0,DG1
2026-03-10,Tuesday,09:00,0,0,0,30,0,DG1
2026-03-09,Monday,09:00,0,0,0,30,0,DG1
2026-03-08,Sunday,09:00,0,0,0,30,0,DG1
2026-03-07,Saturday,09:00,0,0,0,30,0,DG1
2026-03-06,Friday,09:00,0,0,0,30,0,DG1
2026-03-05,Thursday,09:00,62.4,1.5,17.2,30,1872,DG2
2026-03-04,Wednesday,09:00,0,0,0,30,0,DG1
2026-03-03,Tuesday,09:00,0,0,0,30,0,DG1
2026-03-02,Monday,09:00,0,0,0,30,0,DG1
2026-03-01,Sunday,09:00,0,0,0,30,0,DG1
2026-02-28,Saturday,09:00,0,0,0,30,0,DG1
2026-02-27,Friday,09:00,0,0,0,30,0,DG1
2026-02-26,Thursday,09:00,0,0,0,30,0,DG1
2026-02-25,Wednesday,09:00,0,0,0,30,0,DG1
2026-02-24,Tuesday,09:00,0,0,0,30,0,DG1
2026-02-23,Monday,09:00,0,0,0,30,0,DG1
2026-02-22,Sunday,09:00,0,0,0,30,0,DG1
2026-02-21,Saturday,09:00,0,0,0,30,0,DG1
2026-02-20,Friday,09:00,78.5,2.0,21.8,30,2355,DG3
2026-02-19,Thursday,09:00,45.8,1.0,12.5,30,1374,DG2
2026-02-18,Wednesday,09:00,0,0,0,30,0,DG1
2026-02-17,Tuesday,09:00,0,0,0,30,0,DG1
2026-02-16,Monday,09:00,0,0,0,30,0,DG1
