Date,Day,Time,Solar Units Generated (KWh),Inverter Status,SMB1 (KWh),SMB2 (KWh),SMB3 (KWh),SMB4 (KWh),SMB5 (KWh),Plant Capacity (KW),Irradiance (W/m²)
2026-03-19,Thursday,09:00,790,All Online,172,167,161,155,135,598,580
2026-03-18,Wednesday,09:00,771,All Online,168,163,158,152,130,598,565
2026-03-17,Tuesday,09:00,837,All Online,182,177,171,165,142,598,610
2026-03-16,Monday,09:00,991,All Online,216,210,203,195,167,598,720
2026-03-15,Sunday,09:00,247,SMB3 Fault,57,55,0,72,63,598,180
2026-03-14,Saturday,09:00,502,All Online,109,106,103,99,85,598,368
2026-03-13,Friday,09:00,697,All Online,152,148,143,137,117,598,510
2026-03-12,Thursday,09:00,620,All Online,135,131,127,122,105,598,455
2026-03-11,Wednesday,09:00,702,All Online,153,149,144,138,118,598,515
2026-03-10,Tuesday,09:00,429,All Online,94,91,88,84,72,598,314
2026-03-09,Monday,09:00,399,All Online,87,84,82,79,67,598,292
2026-03-08,Sunday,09:00,544,All Online,119,115,111,107,92,598,398
2026-03-07,Saturday,09:00,534,All Online,116,113,109,105,91,598,391
2026-03-06,Friday,09:00,566,All Online,123,120,116,111,96,598,415
2026-03-05,Thursday,09:00,620,All Online,135,131,127,122,105,598,455
2026-03-04,Wednesday,09:00,619,All Online,135,131,127,122,104,598,454
2026-03-03,Tuesday,09:00,710,All Online,155,150,145,140,120,598,520
2026-03-02,Monday,09:00,479,All Online,104,101,98,94,82,598,351
2026-03-01,Sunday,09:00,667,All Online,145,141,137,131,113,598,489
2026-02-28,Saturday,09:00,625,All Online,136,132,128,123,106,598,458
2026-02-27,Friday,09:00,701,All Online,153,149,143,138,118,598,514
2026-02-26,Thursday,09:00,714,All Online,156,151,146,140,121,598,523
2026-02-25,Wednesday,09:00,613,All Online,134,130,125,121,103,598,449
2026-02-24,Tuesday,09:00,698,All Online,152,148,143,137,118,598,512
2026-02-23,Monday,09:00,611,All Online,133,129,125,120,104,598,448
2026-02-22,Sunday,09:00,794,All Online,173,168,162,156,135,598,582
2026-02-21,Saturday,09:00,606,All Online,132,128,124,119,103,598,444
2026-02-20,Friday,09:00,741,All Online,162,157,152,146,124,598,543
2026-02-19,Thursday,09:00,137,SMB3 Fault,32,31,0,40,34,598,100
2026-02-18,Wednesday,09:00,713,All Online,155,151,146,140,121,598,522
2026-02-17,Tuesday,09:00,826,All Online,180,175,169,163,139,598,605
2026-02-16,Monday,09:00,452,All Online,99,96,92,89,76,598,331
